name	status	missing	edgeMissing	extra	origOpaque	spriteOpaque	scaledFrom
iD-waterway-stream	edge_missing	31	3	13	53	35	
far-clone	match	0	0	0	80	80	
far-credit-card	match	0	0	0	117	117	
far-dot-circle	match	0	0	0	76	76	
far-snowflake	match	0	0	0	116	116	
far-times-circle	match	0	0	0	53	53	
fas-ambulance	match	0	0	0	124	124	
fas-apple-alt	match	0	0	0	79	79	
fas-archive	match	0	0	0	156	156	
fas-archway	match	0	0	0	128	128	
fas-baby	match	0	0	0	71	71	
fas-baby-carriage	match	0	0	0	90	90	
fas-balance-scale	match	0	0	0	90	90	
fas-bath	match	0	0	0	126	126	
fas-beer	match	0	0	0	124	124	
fas-bell	match	0	0	0	87	87	
fas-biking	match	0	0	0	62	62	
fas-blender	match	0	0	0	132	132	
fas-book	match	0	0	0	107	107	
fas-border-all	match	0	0	0	114	114	
fas-bowl-rice	match	0	0	0	112	112	
fas-box	match	0	0	0	178	178	
fas-box-open	match	0	0	0	94	94	
fas-bugs	match	0	0	0	90	90	
fas-building-flag	match	0	0	0	139	139	
fas-bullseye	match	0	0	0	81	81	
fas-burn	match	0	0	0	65	65	
fas-calendar-alt	match	0	0	0	168	168	
fas-calendar-days	match	0	0	0	168	168	
fas-camera-retro	match	0	0	0	109	109	
fas-cannabis	match	0	0	0	102	102	
fas-car	match	0	0	0	68	68	
fas-car-battery	match	0	0	0	125	125	
fas-car-crash	match	0	0	0	116	116	
fas-carrot	match	0	0	0	90	90	
fas-cat	match	0	0	0	103	103	
fas-charging-station	match	0	0	0	120	120	
fas-cheese	match	0	0	0	137	137	
fas-chess-bishop	match	0	0	0	80	80	
fas-chess-knight	match	0	0	0	99	99	
fas-chess-pawn	match	0	0	0	55	55	
fas-chevron-circle-up	match	0	0	0	125	125	
fas-child	match	0	0	0	64	64	
fas-child-reaching	match	0	0	0	70	70	
fas-church	match	0	0	0	99	99	
fas-cocktail	match	0	0	0	62	62	
fas-code	match	0	0	0	39	39	
fas-coins	match	0	0	0	106	106	
fas-comment	match	0	0	0	74	74	
fas-comments	match	0	0	0	88	88	
fas-compact-disc	match	0	0	0	91	91	
fas-compress-arrows-alt	match	0	0	0	92	92	
fas-concierge-bell	match	0	0	0	66	66	
fas-couch	match	0	0	0	126	126	
fas-crosshairs	match	0	0	0	76	76	
fas-crown	match	0	0	0	94	94	
fas-crutch	match	0	0	0	54	54	
fas-cube	match	0	0	0	89	89	
fas-cut	match	0	0	0	98	98	
fas-dice	match	0	0	0	98	98	
fas-directions	match	0	0	0	41	41	
fas-dolly	match	0	0	0	80	80	
fas-door-closed	match	0	0	0	131	131	
fas-door-open	match	0	0	0	90	90	
fas-dove	match	0	0	0	86	86	
fas-drafting-compass	match	0	0	0	96	96	
fas-dragon	match	0	0	0	96	96	
fas-drumstick-bite	match	0	0	0	85	85	
fas-dumbbell	match	0	0	0	83	83	
fas-dumpster	match	0	0	0	110	110	
fas-dumpster-fire	match	0	0	0	93	93	
fas-dungeon	match	0	0	0	129	129	
fas-eye	match	0	0	0	71	71	
fas-film	match	0	0	0	127	127	
fas-fire-extinguisher	match	0	0	0	89	89	
fas-fish	match	0	0	0	85	85	
fas-flask	match	0	0	0	75	75	
fas-frog	match	0	0	0	96	96	
fas-futbol	match	0	0	0	67	67	
fas-gavel	match	0	0	0	52	52	
fas-guitar	match	0	0	0	72	72	
fas-hammer	match	0	0	0	85	85	
fas-handshake	match	0	0	0	91	91	
fas-hashtag	match	0	0	0	79	79	
fas-hat-cowboy-side	match	0	0	0	92	92	
fas-helmet-safety	match	0	0	0	89	89	
fas-hiking	match	0	0	0	45	45	
fas-horse	match	0	0	0	97	97	
fas-hospital-alt	match	0	0	0	159	159	
fas-hot-tub-person	match	0	0	0	133	133	
fas-hotdog	match	0	0	0	69	69	
fas-hotel	match	0	0	0	152	152	
fas-house-damage	match	0	0	0	119	119	
fas-house-fire	match	0	0	0	81	81	
fas-i-cursor	match	0	0	0	58	58	
fas-ice-cream	match	0	0	0	85	85	
fas-jar	match	0	0	0	104	104	
fas-key	match	0	0	0	90	90	
fas-laptop	match	0	0	0	86	86	
fas-leaf	match	0	0	0	60	60	
fas-life-ring	match	0	0	0	109	109	
fas-lock	match	0	0	0	108	108	
fas-long-arrow-alt-right	match	0	0	0	50	50	
fas-mail-bulk	match	0	0	0	135	135	
fas-map	match	0	0	0	150	150	
fas-map-signs	match	0	0	0	120	120	
fas-medkit	match	0	0	0	151	151	
fas-microchip	match	0	0	0	135	135	
fas-microphone	match	0	0	0	82	82	
fas-mobile-alt	match	0	0	0	96	96	
fas-moped	match	0	0	0	60	60	
fas-mosque	match	0	0	0	136	136	
fas-motorcycle	match	0	0	0	94	94	
fas-music	match	0	0	0	95	95	
fas-newspaper	match	0	0	0	136	136	
fas-paint-roller	match	0	0	0	94	94	
fas-paperclip	match	0	0	0	40	40	
fas-pen-ruler	match	0	0	0	133	133	
fas-people-carry	match	0	0	0	154	154	
fas-pepper-hot	match	0	0	0	99	99	
fas-person-arrow-up-from-line	match	0	0	0	89	89	
fas-person-booth	match	0	0	0	153	153	
fas-phone-alt	match	0	0	0	36	36	
fas-pills	match	0	0	0	84	84	
fas-plane	match	0	0	0	75	75	
fas-plane-departure	match	0	0	0	91	91	
fas-plate-wheat	match	0	0	0	119	119	
fas-plug	match	0	0	0	97	97	
fas-plug-circle-bolt	match	0	0	0	71	71	
fas-plus	match	0	0	0	61	61	
fas-print	match	0	0	0	118	118	
fas-procedures	match	0	0	0	100	100	
fas-puzzle-piece	match	0	0	0	105	105	
fas-question	match	0	0	0	54	54	
fas-rocket	match	0	0	0	93	93	
fas-rotate	match	0	0	0	59	59	
fas-running	match	0	0	0	82	82	
fas-satellite-dish	match	0	0	0	83	83	
fas-school	match	0	0	0	98	98	
